댐코드,댐이름,예측시점,예측시간,모델,분류임계값,학습건수,평가건수,변화학습건수,변화평가건수,관심구간기준,모델_MAE,모델_MSE,모델_RMSE,모델_MAPE,모델_R2,기준선_MAE,기준선_MSE,기준선_RMSE,기준선_MAPE,기준선_R2,MAE_개선율(%),Precision,Recall,F1,Accuracy,실제변화건수,예측변화건수
4007110,주암(본),3시간뒤,3,RF분류 + GradientBoostingDelta,0.25,8356,4447,125,316,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",2.8852719548129384,306.7156058665804,17.513297972300375,9.146932507245827,0.8734955548403378,2.9082954800989427,313.8704192286935,17.716388436379845,9.309425099663653,0.8705445615511709,0.7916501415881232,1.0,0.006329113924050633,0.012578616352201259,0.9293906004047673,316,2
4104610,주암(조),3시간뒤,3,RF분류 + GradientBoostingDelta,0.3,8294,4278,3158,1977,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",4.371359770253387,54.24602900737259,7.365190357850406,548.278939468794,0.5205482717292264,6.482134876110332,90.84834551496026,9.531439844795761,233.16300361177275,0.19703991122063158,32.562961835862566,0.6731448763250883,0.7708649468892261,0.7186984201839189,0.7211313697989715,1977,2264
5101110,장흥,3시간뒤,3,RF분류 + GradientBoostingDelta,0.2,7291,5489,90,36,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.34643341258790933,7.94349521505887,2.818420695187088,4.897970690780197,0.9262594152984672,0.28359573692840223,6.269971049918018,2.5039910243285655,4.505423125635191,0.9417949757927548,-22.157482457280857,0.37209302325581395,0.4444444444444444,0.4050632911392405,0.9914374202951357,36,43
1003110,충주,6시간뒤,6,RF분류 + GradientBoostingDelta,0.5999999999999999,17472,11790,1983,1462,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",15.095445548546229,3739.479922287819,61.15128716787423,240.15183265914334,-0.06276427925737194,25.594027989821882,6798.60439403732,82.45364997401461,2790.856484032187,-0.9321707961904546,41.01965679435329,0.9634760705289672,0.5232558139534884,0.6781914893617021,0.9384223918575063,1462,794
1006110,횡성,6시간뒤,6,RF분류 + GradientBoostingDelta,0.39999999999999997,7608,4416,189,45,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.8883004578968321,23.31521391825856,4.828583013499774,14.19426680651614,0.8482325769056207,0.5669646739130435,13.267955286231885,3.642520457901628,13.570634448796307,0.9136339305921641,-56.67650892003767,0.1276595744680851,0.26666666666666666,0.17266187050359713,0.9739583333333334,45,94
1012110,소양강,6시간뒤,6,RF분류 + GradientBoostingDelta,0.5499999999999999,17472,11790,1847,1563,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",9.524239196322162,1133.750520716818,33.67121204704129,106.46929323740429,0.0212320671583609,14.533165394402037,1862.2013785920274,43.15323138065129,578.9758129243169,-0.6076402705482185,34.46548678245443,0.9228187919463087,0.527831094049904,0.6715506715506715,0.9315521628498727,1563,894
2001110,안동,6시간뒤,6,RF분류 + GradientBoostingDelta,0.6499999999999999,7020,5443,2375,3177,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",17.989931675648045,964.5884106420976,31.057823662357567,1291.0732288453737,0.10976858228897068,36.55324563659746,2603.01126426309,51.01971446669503,2286.8561954947127,-1.4023535660771254,50.784311044499006,0.8922242314647378,0.7765187283600882,0.8303601480982834,0.8148080102884439,3177,2765
2002110,임하,6시간뒤,6,RF분류 + GradientBoostingDelta,0.49999999999999994,7422,4190,3485,1420,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",9.039014025253714,336.0856411461436,18.332638684765037,101.70201457035965,-0.2267835299842711,14.037466348448687,666.8206752997614,25.82287116685055,197.50350968762413,-1.4340362150581076,35.607938064602116,0.8217652099400171,0.6753521126760563,0.7413993042133745,0.8403341288782816,1420,1167
2002111,성덕,6시간뒤,6,RF분류 + GradientBoostingDelta,0.39999999999999997,7245,7375,68,0,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.007159593220338984,0.0028484667118644064,0.053371028769027926,35.74410854881516,0.7355243939230576,0.007159593220338984,0.0028484667118644064,0.053371028769027926,35.74410854881516,0.7355243939230576,0.0,0.0,0.0,0.0,1.0,0,0
2004101,영주,6시간뒤,6,RF분류 + GradientBoostingDelta,0.3,7368,4234,374,45,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.8693111962875226,6.567084453548909,2.5626323289830144,80.05338097654324,0.4408099138846143,0.22543953708077466,1.3630143469532356,1.167482054231771,64.22038260450614,0.8839387378919126,-285.6072486415946,0.008620689655172414,0.08888888888888889,0.015717092337917484,0.8816721776098252,45,464
2008101,군위,6시간뒤,6,RF분류 + GradientBoostingDelta,0.5499999999999999,7546,4245,27,0,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.031111189634864547,0.028882841696113076,0.1699495269075883,423.4617927533602,0.8161706625254324,0.031111189634864547,0.028882841696113076,0.1699495269075883,423.4617927533602,0.8161706625254324,0.0,0.0,0.0,0.0,1.0,0,0
2012101,보현산,6시간뒤,6,RF분류 + GradientBoostingDelta,0.3,7432,5307,9,0,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.003209670224066764,0.0002136282693354258,0.01461602782343499,1.596795525848169,0.2825844255575136,0.0031903146787262103,0.00021342057659694738,0.014608921130492402,1.5928569832262336,0.2832819081788286,-0.6066970593722609,0.0,0.0,0.0,0.9962313925004711,0,20
2015110,합천,6시간뒤,6,RF분류 + GradientBoostingDelta,0.49999999999999994,7794,3814,3223,1582,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",8.702355652445748,337.64226765653245,18.375044698082572,757.9356590441093,0.4136313387070353,16.50773544834819,693.8830887385947,26.34166070578305,612.4569925849553,-0.20503662252194133,47.28316503693103,0.7714450201496834,0.8470290771175727,0.8074721301596867,0.8324593602517042,1582,1737
2018110,남강,6시간뒤,6,RF분류 + GradientBoostingDelta,0.39999999999999997,7080,3677,1932,1311,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",14.137379973089338,1275.2413244682627,35.71052120129672,111.71054874778706,0.8027315183253521,17.21724177318466,1333.404174019581,36.5158071801731,166.8300704775292,0.7937342432208587,17.888241570099314,0.7447728911319395,0.7879481311975591,0.765752409191994,0.8281207506119119,1311,1387
2021110,밀양,6시간뒤,6,RF분류 + GradientBoostingDelta,0.6499999999999999,8268,3775,178,29,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.21484847682119204,3.350393496953642,1.8304080137919092,3.288821930492478,0.6216744115984401,0.21484847682119204,3.350393496953642,1.8304080137919092,3.288821930492478,0.6216744115984401,0.0,0.0,0.0,0.0,0.992317880794702,29,0
3001110,용담,6시간뒤,6,RF분류 + GradientBoostingDelta,0.2,7420,4398,613,245,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",2.039054910683385,97.55926762458819,9.877209505958056,7.1284832225349355,0.823938994969565,1.3171696225557072,82.58126821327875,9.087423629020424,4.666012845609426,0.8509691448867194,-54.805795378654565,0.2873900293255132,0.4,0.33447098976109213,0.9113233287858117,245,341
3008110,대청,6시간뒤,6,RF분류 + GradientBoostingDelta,0.44999999999999996,7643,5339,2606,2212,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",41.84787771602063,7265.705837239798,85.23910978676278,189.6284583006602,-0.3746228684364401,37.85482094025099,4147.437938501779,64.40060510974861,193.9665831321107,0.21533252743806752,-10.548344112027836,0.5791201575837164,0.7974683544303798,0.6709775580068467,0.675969282637198,2212,3046
3203110,보령,6시간뒤,6,RF분류 + GradientBoostingDelta,0.5499999999999999,7168,4233,119,48,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.4554470028193345,3.980852252021733,1.995207320561383,9.035547306215,0.8905693085717279,0.43661185920151196,3.7837700557524214,1.945191521612312,8.972594366922957,0.8959869527445303,-4.313933124095335,0.0,0.0,0.0,0.9867706118592016,48,8
3303110,부안,6시간뒤,6,RF분류 + GradientBoostingDelta,0.39999999999999997,7483,4403,199,18,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.1766675391067899,0.5557914292944149,0.7455142046228328,8.496294271317376,0.8576805769199938,0.17803361344537816,0.449192409720645,0.6702181806849505,8.49245581544399,0.8849769873484402,0.7673125946002234,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.9968203497615262,18,6
4001110,섬진강,6시간뒤,6,RF분류 + GradientBoostingDelta,0.35,7816,4447,549,472,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",2.6868435590239157,114.89783112015292,10.719040587671683,11.572646005622582,0.8800003429491049,2.2285300202383627,102.73762538857657,10.135957053410229,10.431377243402011,0.8927005001516506,-20.56573322429518,0.3793103448275862,0.3495762711864407,0.3638368246968026,0.8702496064762761,472,435
4007110,주암(본),6시간뒤,6,RF분류 + GradientBoostingDelta,0.3,8356,4447,227,363,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",6.155537189469701,559.3750810418309,23.651111623808106,13.525782645706016,0.7644419143441564,3.477660220373286,388.01665892984033,19.698138463566558,12.798547558815462,0.8366025508146393,-77.00226012330141,0.10638297872340426,0.06887052341597796,0.08361204013377926,0.8767708567573645,363,235
4104610,주암(조),6시간뒤,6,RF분류 + GradientBoostingDelta,0.25,8294,4278,4408,2852,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",4.137302790105738,49.141889468929094,7.01012763570886,230.69488045241872,0.506411541608999,9.369343151005143,136.9195247891538,11.70126167509956,573.8248194210823,-0.3752401035991264,55.84212549988749,0.784902360827747,0.9442496493688639,0.8572338055069234,0.7903225806451613,2852,3431
5101110,장흥,6시간뒤,6,RF분류 + GradientBoostingDelta,0.2,7291,5489,171,61,"rain/rf 발생, 24h 누적강수 발생, 또는 댐별 유입량 상위 25%",0.7014416581766101,21.07406609572797,4.590649855491918,9.155161596876518,0.8025935522480745,0.48896611404627444,13.241643637638914,3.638906928960799,7.321755135151883,0.8759619609699774,-43.454042729477884,0.40860215053763443,0.6229508196721312,0.4935064935064935,0.9857897613408635,61,93
