dam_code,dam_name,station_code,station_name,basin,latitude,longitude,observation_start_year,distance_km,rank_no,mapping_type,note
3303110,부안,3302617,정읍시(종산리),만경 · 동진,35.59222222,127.09527778,1994.0,44.30,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3303110,부안,4002605,임실군(섬진강댐),섬진강,35.53944444,127.11361111,1990.0,47.66,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
3303110,부안,9900003,부안 수위감지,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
3303110,부안,8000024,부안군(부안댐),,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,4002605,임실군(섬진강댐),섬진강,35.53944444,127.11361111,1990.0,2.39,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
4001110,섬진강,4002610,임실군(회문리),섬진강,35.51833333,127.13972222,1990.0,2.41,2,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,3302617,정읍시(종산리),만경 · 동진,35.59222222,127.09527778,1994.0,7.08,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
4001110,섬진강,8000122,덕치,,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,8000097,섬진강댐보조수위,,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,4001664,순창군(운암교),,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,4001660,쌍치,섬진강,35.50388889,127.01388889,2009.0,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,4002695,임실군(섬진강댐),,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,4001620,임실군(호암교),섬진강,35.66805556,127.24277778,2004.0,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,8000085,정읍시(종산리),,,,,,108,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4001110,섬진강,3302680,칠보,,,,,,109,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4008655,곡성군(목사동2교),섬진강,35.12666667,127.25888889,2008.0,6.53,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
4007110,주암(본),4007670,순천시(주암댐),섬진강,35.02388889,127.11555556,1996.0,12.43,2,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4007660,화순군(동복댐),섬진강,35.08250000,127.10250000,1991.0,12.59,3,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4008694,곡성군(목사동2교),,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4007630,보성군(가장교),섬진강,34.82805556,127.14972222,1991.0,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),3301650,보성군(보성강댐),,,,,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4008650,순천시(광천교),섬진강,35.13305556,127.40638889,1991.0,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4104620,순천시(주암조절지조정지댐),섬진강남해,34.94416667,127.47500000,1991.0,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4007650,장전,,,,,,107,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),9900005,주암 수위감지,,,,,,108,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),8000096,주암댐보조수위,,,,,,109,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4007110,주암(본),4007655,화순군(용리교),,,,,,111,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),4008655,곡성군(목사동2교),섬진강,35.12666667,127.25888889,2008.0,8.75,1,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
4104610,주암(조),4104603,순천시(송전교),섬진강남해,35.00166667,127.38361111,2005.0,9.33,2,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
4104610,주암(조),4008650,순천시(광천교),섬진강,35.13305556,127.40638889,1991.0,11.95,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
4104610,주암(조),4104612,순천시(노동교),,,,,,101,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),9000183,순천시(송전교),,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),4104610,순천시(주암조절지댐),섬진강남해,34.95083333,127.38083333,2008.0,,103,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),4104615,순천시(주암조절지방수로),,,,,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),9900006,주암조절지 수위감지,,,,,,105,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),8000020,주암조절지댐방수로,,,,,,106,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
4104610,주암(조),8000095,주암조절지댐보조수위,,,,,,107,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
5101110,장흥,5101620,장흥군(동산교),탐진강,34.81333333,126.89222222,2000.0,6.86,1,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
5101110,장흥,5101680,강진군(풍동리),탐진강,34.64916667,126.87000000,2000.0,13.49,2,DISTANCE_OFFICIAL,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
5101110,장흥,5003604,화순군(세청교),영산강,34.89027778,126.98638889,2012.0,15.37,3,DISTANCE_CANDIDATE,거리 기반 후보입니다. 공식 하류 대표 관측소 여부는 추가 확인 필요
5101110,장흥,9900002,장흥 수위감지,,,,,,102,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
5101110,장흥,8000022,장흥군(장흥댐),,,,,,104,OFFICIAL_API,K-water 수위 관측소 코드 조회 API에서 내려온 공식 연결 후보
