댐코드,댐이름,예측시점,예측시간,모델,학습건수,평가건수,방류변화_평가건수,최고기준선,기준선_MAE,모델_MAE,MAE_개선율(%),모델_RMSE,모델_R2,방류변화_최고기준선,방류변화_기준선_MAE,방류변화_모델_MAE,방류변화_MAE_개선율(%),변화신호_적중률,강수예보대리변수
3203110,보령,3시간뒤,3,XGBoost,17322,8687,24,현재방류량유지,0.2485995165189364,0.6644731564572839,-167.28658436737928,2.6750719415981443,0.6258973213645441,현재방류량유지,16.18116666666667,19.95381746776899,-23.31507287959656,0.9753654886612179,forecast_rain_sum_3h
2021110,밀양,3시간뒤,3,XGBoost,17471,8760,22,현재방류량유지,0.09726563926940639,0.321184718232721,-230.21395905608918,3.9376404765071853,-0.18132754681746044,현재방류량유지,18.672818181818176,19.540891358635644,-4.648860007980561,0.9915525114155251,forecast_rain_sum_3h
2004101,영주,3시간뒤,3,XGBoost,17389,8760,47,현재방류량유지,0.1070208904109589,0.3722910971013378,-247.8676879548886,0.972617956511058,0.8926784858196878,최근6시간평균,8.296290780141845,7.664833198912601,7.611324120180467,0.9933789954337899,forecast_rain_sum_3h
2012101,보현산,3시간뒤,3,XGBoost,17471,8760,0,현재방류량유지,0.0019863013698630124,0.007435935302684303,-274.3608807558307,0.015256549527546103,0.051935131640685195,,,,,1.0,forecast_rain_sum_3h
1006110,횡성,3시간뒤,3,XGBoost,17471,8760,25,현재방류량유지,0.20856198630136985,0.9781406029978842,-368.9927538302601,4.4984187554033035,0.7532195559705614,현재방류량유지,29.57348,25.830995462722782,12.654866918865205,0.964041095890411,forecast_rain_sum_3h
2002111,성덕,3시간뒤,3,XGBoost,17398,8760,0,현재방류량유지,0.005974429223744293,0.1388291890663371,-2223.72305147721,0.41887667637139525,-5.41827260162424,,,,,1.0,forecast_rain_sum_3h
2015110,합천,6시간뒤,6,XGBoost,17241,8601,4062,최근3시간평균,17.228973336433754,9.967087161817826,42.14926817060751,14.092185736125987,0.6535155828011423,최근6시간평균,26.268487280485804,11.980488355035599,54.39216492707747,0.7072433437972329,forecast_rain_sum_6h
2001110,안동,6시간뒤,6,XGBoost,17082,8760,4536,최근6시간평균,29.827402435312024,20.13342332654678,32.50024580514175,26.251592200968044,0.41179150753801685,최근6시간평균,42.305844650205756,26.22878299803122,38.00198716064718,0.5976027397260274,forecast_rain_sum_6h
4104610,주암(조),6시간뒤,6,XGBoost,17471,8760,5741,최근6시간평균,6.661334722222223,4.6360324801295585,30.40385037755651,6.432172359509983,0.5733139437548591,최근6시간평균,8.220001828949659,5.267441980492215,35.91921157558572,0.790068493150685,forecast_rain_sum_6h
2018110,남강,6시간뒤,6,XGBoost,16551,8437,3733,현재방류량유지,20.400285172454666,16.747177477542945,17.907140336666973,30.157908628932187,0.7608635282473228,최근6시간평균,43.45673604786141,25.292096308867862,41.7993650489254,0.6375488917861799,forecast_rain_sum_6h
2002110,임하,6시간뒤,6,XGBoost,17097,8760,2598,현재방류량유지,11.723750799086758,10.775462353531303,8.088609710378048,16.55164869334759,-0.017974947339476577,최근6시간평균,30.441506607646907,20.714032160611406,31.954641970946206,0.670662100456621,forecast_rain_sum_6h
1012110,소양강,6시간뒤,6,XGBoost,17471,8760,1234,최근3시간평균,15.158180365296804,15.156136078749691,0.01348635850641452,35.52439938772011,0.016723841528745842,최근6시간평균,69.36042409508374,60.44172294944959,12.858487043573755,0.4421232876712329,forecast_rain_sum_6h
3008110,대청,6시간뒤,6,XGBoost,17394,8316,3213,최근6시간평균,32.055521805355134,35.54614006272022,-10.889288524331398,52.07660361848131,0.391096108036732,최근6시간평균,53.74174234879136,42.2180160830955,21.442784997377423,0.4320586820586821,forecast_rain_sum_6h
3303110,부안,6시간뒤,6,XGBoost,17471,8760,18,현재방류량유지,0.12606632420091327,0.15219495844911768,-20.726101450029528,0.687333089904858,0.778797423363471,현재방류량유지,8.780333333333333,6.163396016544766,29.804532669092676,0.9974885844748859,forecast_rain_sum_6h
1003110,충주,6시간뒤,6,XGBoost,17471,8760,841,최근3시간평균,22.44482496194825,27.16863187590146,-21.046307654266407,80.02790435356565,-0.8947030149161541,최근6시간평균,143.32056678557274,123.09787766185583,14.110109649491429,0.09657534246575343,forecast_rain_sum_6h
3001110,용담,6시간뒤,6,XGBoost,17056,8529,515,현재방류량유지,1.0986367686715912,1.3815573233435476,-25.75196486588081,7.11863753768734,0.8789144107783198,최근6시간평균,9.789477022653722,8.329164679547652,14.917164009137332,0.9482940555750967,forecast_rain_sum_6h
4001110,섬진강,6시간뒤,6,XGBoost,17212,8526,788,현재방류량유지,1.9377733990147785,2.5844805427292217,-33.373723885530076,9.355107790898076,0.8878796622260761,현재방류량유지,18.619213197969543,17.629508276358475,5.315503459184822,0.902533427163969,forecast_rain_sum_6h
5101110,장흥,6시간뒤,6,XGBoost,17396,8760,127,현재방류량유지,0.5315326484018266,0.7298577035557735,-37.31192350089053,4.343359815779843,0.8430169260117844,현재방류량유지,25.262354330708664,22.908158590301746,9.318987888413798,0.9767123287671233,forecast_rain_sum_6h
3203110,보령,6시간뒤,6,XGBoost,17322,8687,48,현재방류량유지,0.3367397260273972,0.5585948858795745,-65.88327503542814,2.421175483939989,0.693538805784627,현재방류량유지,16.657208333333333,18.793980459650356,-12.827912598301674,0.9829630482329919,forecast_rain_sum_6h
2021110,밀양,6시간뒤,6,XGBoost,17471,8760,43,현재방류량유지,0.16233881278538811,0.33346412693169564,-105.412446481628,2.1613091729645393,0.6440968933989204,현재방류량유지,19.629883720930234,15.70417569093926,19.998631096348333,0.9892694063926941,forecast_rain_sum_6h
4007110,주암(본),6시간뒤,6,XGBoost,17180,8648,789,현재방류량유지,2.9697162349676227,6.17937239764577,-108.07955739626891,16.83185518648159,0.8011421156428313,최근6시간평균,19.533381495564004,22.800983115613235,-16.72829469281239,0.6554116558741906,forecast_rain_sum_6h
2008101,군위,6시간뒤,6,XGBoost,17471,8760,0,현재방류량유지,0.025951255707762556,0.07287037595208376,-180.79710967622552,0.16605111988728774,0.6722783018202689,,,,,1.0,forecast_rain_sum_6h
2004101,영주,6시간뒤,6,XGBoost,17389,8760,86,현재방류량유지,0.1820899543378995,0.5381333778590917,-195.53161228240617,1.3703070046889296,0.7871518896891063,최근6시간평균,8.14487984496124,7.596726334505303,6.730038022538142,0.9875570776255708,forecast_rain_sum_6h
1006110,횡성,6시간뒤,6,XGBoost,17471,8760,46,현재방류량유지,0.33409840182648404,1.2814511182904789,-283.554997954168,6.5471765581226755,0.4772824290045308,현재방류량유지,31.973521739130437,28.45445887420489,11.006178467412248,0.9668949771689498,forecast_rain_sum_6h
2012101,보현산,6시간뒤,6,XGBoost,17471,8760,0,현재방류량유지,0.0028734018264840165,0.012011604361528682,-318.02731002737806,0.03282056120817703,-3.387431986399883,,,,,1.0,forecast_rain_sum_6h
2002111,성덕,6시간뒤,6,XGBoost,17398,8760,0,현재방류량유지,0.00991689497716895,0.10586161070223814,-967.4874640293834,0.3042611598669016,-2.3867017923998066,,,,,1.0,forecast_rain_sum_6h
